dormancy_segment,customer_count,total_revenue,avg_revenue_per_customer,avg_orders
0-30 days,7,785.56,112.22285714285714,2.2857142857142856
31-60 days,1665,239590.51,143.8982042042042,1.0654654654654654
61-90 days,7990,1349601.85,168.91137046307887,1.0377972465581977
91-180 days,18317,3159633.9,172.49734672708414,1.0387618059725938
181-365 days,39753,6414865.09,161.36807511382787,1.0349910698563631
366-730 days,28047,4622618.96,164.8168773843905,1.0292366384996612
730+ days,315,56235.34,178.52488888888888,1.0095238095238095
