dormancy_segment,customer_count,avg_spent,avg_orders,avg_lifespan_days
0-30 days,7,112.22285714285714,2.2857142857142856,37.42857142857143
31-60 days,1665,143.8982042042042,1.0654654654654654,6.597597597597598
61-90 days,7990,168.91137046307887,1.0377972465581977,5.221902377972466
91-180 days,18317,172.49734672708414,1.0387618059725938,4.664628487197685
181-365 days,39753,161.36807511382787,1.0349910698563631,2.4957613261892186
366-730 days,28047,164.8168773843905,1.0292366384996612,0.8134559845972831
730+ days,315,178.52488888888888,1.0095238095238095,0.0
